Position,Player,Rating
1,Nat Sciver-Brunt,783
2,Laura Wolvaardt,756
3,Chamari Athapaththu,755
4,Smriti Mandhana,738
5,Beth Mooney,704
6,Ellyse Perry,689
7,Marizanne Kapp,683
8,Alyssa Healy,663
9,Harmanpreet Kaur,648
10,Hayley Matthews,647
11,Sophie Devine,637
12,Amelia Kerr,635
13,Amy Jones,618
14,Tammy Beaumont,597
15,Gaby Lewis,577
16,Ashleigh Gardner,570
17,Suzie Bates,551
18,Heather Knight,547
19,Stafanie Taylor,543
20,Deepti Sharma,537
21,Natthakan Chantham,535
22,Fargana Hoque,530
23,Sidra Ameen,526
24,Chloe Tryon,523
25,Danielle Wyatt,520
26,Maia Bouchier,510
27,Maddy Green,498
28,Sune Luus,477
29,Aliya Riaz,471
30,Jemimah Rodrigues,463
31,Tahlia McGrath,461
31,Laura Delany,461
33,Leah Paul,457
33,Phoebe Litchfield,457
35,Nilakshi de Silva,455
36,Nigar Sultana,449
37,Nida Dar,445
37,Orla Prendergast,445
39,Brooke Halliday,438
39,Tazmin Brits,438
41,Annabel Sutherland,437
42,Pooja Vastrakar,435
43,Muneeba Ali,428
44,Amy Hunter,420
45,Richa Ghosh,412
45,Naruemol Chaiwai,412
47,Yastika Bhatia,402
48,Kathryn Bryce,396
49,Babette de Leede,375
50,Sophia Dunkley,364
51,Harshitha Samarawickrama,361
52,Kavisha Dilhari,352
53,Emma Lamb,347
54,Shafali Verma,345
55,Shemaine Campbelle,343
56,Alana King,342
57,Nadine de Klerk,340
58,Charlotte Dean,337
59,Omaima Sohail,335
60,Fatima Sana,329
61,Harleen Deol,326
62,Mary-Anne Musonda,324
62,Chipo Mugeri-Tiripano,324
64,Georgia Wareham,322
64,Alice Capsey,322
66,Lara Goodall,321
67,Hasini Perera,319
67,Sarah Bryce,319
69,Jess Jonassen,314
71,Nannapat Koncharoenkai,304
72,Sharne Mayers,302
73,Murshida Khatun,294
74,Lauren Down,293
76,Chedean Nation,291
77,Heather Siegers,288
77,Chinelle Henry,288
79,Shamima Sultana,286
80,Sadaf Shamas,280
82,Tanya Ruma,270
83,Sharmin Akhter,269
84,Ritu Moni,268
86,Aaliyah Alleyne,265
87,Modester Mupachikwa,263
87,Prasadani Weerakkody,263
87,Robine Rijke,263
90,Arlene Kelly,261
91,Lata Mondal,260
92,Hannah Rowe,254
93,Mary Waldron,247
94,Kate Cross,246
95,Fran Jonas,245
96,Anushka Sanjeewani,244
97,Rashada Williams,243
98,Josephine Nkomo,242
98,Jess Kerr,242
100,Sibona Jimmy,241
1,Beth Mooney,769
2,Tahlia McGrath,762
3,Hayley Matthews,746
4,Smriti Mandhana,743
5,Laura Wolvaardt,736
6,Chamari Athapaththu,705
7,Tazmin Brits,689
8,Alyssa Healy,680
9,Suzie Bates,674
10,Sophie Devine,656
11,Shafali Verma,631
12,Amelia Kerr,617
13,Ashleigh Gardner,616
14,Nigar Sultana,612
16,Harmanpreet Kaur,607
17,Nat Sciver-Brunt,606
18,Jemimah Rodrigues,599
19,Danielle Wyatt,598
20,Harshitha Samarawickrama,587
21,Heather Knight,582
21,Amy Hunter,582
23,Ellyse Perry,577
24,Richa Ghosh,570
25,Maia Bouchier,556
26,Alice Capsey,554
26,Gaby Lewis,554
28,Amy Jones,548
29,Tanya Ruma,540
29,Kathryn Bryce,540
31,Sophia Dunkley,526
32,Deepti Sharma,525
33,Brenda Tau,517
34,Stafanie Taylor,516
35,Muneeba Ali,505
36,Orla Prendergast,501
37,Nannapat Koncharoenkai,499
38,Grace Harris,495
39,Natthakan Chantham,491
40,Nida Dar,489
41,Mary-Anne Musonda,488
42,Modester Mupachikwa,481
42,Sarah Bryce,481
44,Rebecca Layla Blake,470
45,Marizanne Kapp,461
46,Sune Luus,453
47,Murshida Khatun,445
48,Chipo Mugeri-Tiripano,440
49,Chloe Tryon,438
49,Naruemol Chaiwai,438
51,Maddy Green,431
52,Aliya Riaz,430
54,Nadine de Klerk,423
55,Nilakshi de Silva,422
56,Sharne Mayers,421
57,Laura Delany,418
58,Esha Rohit Oza,415
59,Kavisha Egodage,397
60,Theertha Satish,396
61,Naoani Vare,394
61,Kelis Ndlovu,394
63,Sidra Ameen,392
65,Phoebe Litchfield,384
66,Sterre Kalis,374
67,Shemaine Campbelle,366
68,Deepika Rasangika,353
69,Rachel Andrew,342
70,Chanida Sutthiruang,340
71,Fatuma Kibasu,339
72,Ni Putu Ayu Nanda Sakarini,338
73,Anushka Sanjeewani,337
73,Salma Khatun,337
75,Josephine Nkomo,336
77,Sita Rana Magar,327
78,Sibona Jimmy,322
78,Nattaya Boochatham,322
80,Shamima Sultana,321
82,Kaia Arua,320
82,Fargana Hoque,320
85,Rubina Chhetry,315
86,Saum Mtae,313
87,Chedean Nation,310
89,Immaculate Nakisuuyi,303
89,Sophie Ecclestone,303
91,Rebecca Stokell,297
91,Lucy Barnett,297
94,Eimear Richardson,296
95,Shorna Akter,291
96,Kavisha Dilhari,289
97,Hasini Perera,286
98,Robine Rijke,284
99,Ayesha Naseem,281
100,Natasha Miles,279
